,ChemicalName,Chemical_Description,Web_Link
50,Diethanolamine,"The International Agency for Research on Cancer (IARC) lists coconut oil diethanolamine condensate (cocamide DEA) as an IARC Group 2B carcinogen, which identifies this chemical as possibly carcinogenic to humans. The listing is based on a dermal animal bioassay. In June 2012, the California Office of Environmental Health Hazard Assessment added cocamide DEA to the California Proposition 65 (1986) list of chemicals known to cause cancer.",https://en.wikipedia.org/wiki/Cocamide_DEA
51,Distillates (coal tar),"Evidence is inconclusive whether the coal tar in the concentrations seen in non-prescription treatments causes cancer, because there is insufficient data to make a judgment. While coal tar consistently causes cancer in animal studies, short-term treatments of humans have shown no significant increase in rates of cancer. It's possible that the skin can repair itself after short-term exposure to PAHs, but not after long-term exposure. Coal tar was one of the first chemical substances proven to cause cancer from occupational exposure, during research in 1775 on the cause of chimney sweeps' carcinoma. Modern studies have shown that working with coal tar pitch, such as during the paving of roads or when working on roofs, increases the risk of cancer. Coal tar contains many polycyclic aromatic hydrocarbons, and it is believed that their metabolites bind to DNA, damaging it. Long-term skin exposure to these compounds can produce ""tar warts"", which can progress to squamous cell carcinoma.",https://en.wikipedia.org/wiki/Coal_tar
52,Estragole,"Estragole is suspected to be carcinogenic and genotoxic, as is indicated by a report of the European Union Committee on Herbal Medicinal Products. Several studies have clearly established that the profiles of metabolism, metabolic activation, and covalent binding are dose dependent and that the relative importance diminishes markedly at low levels of exposure (that is, these events are not linear with respect to dose). In particular, rodent studies show that these events are minimal probably in the dose range of 1_10 mg/kg body weight, which is approximately 100 to 1,000 times the anticipated human exposure to this substance. For these reasons it is concluded that the present exposure to estragole resulting from consumption of herbal medicinal products (short time use in adults at recommended posology) does not pose a significant cancer risk. In the meantime exposure of estragole to sensitive groups such as young children, pregnant and breastfeeding women should be minimized.",https://en.wikipedia.org/wiki/Estragole
53,Ethanol in alcoholic beverages,"The first and foremost concerns of topical ethanol applications for public health are its carcinogenic effects, as there is unambiguous evidence for the carcinogenicity of ethanol orally consumed in the form of alcoholic beverages. So far there is a lack of evidence to associate topical ethanol use with an increased risk of skin cancer. Limited and conflicting epidemiological evidence is available on the link between the use of ethanol in the oral cavity in the form of mouthwashes or mouthrinses and oral cancer. Some studies pointed to an increased risk of oral cancer due to locally produced acetaldehyde, operating via a similar mechanism to that found after alcoholic beverage ingestion.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2596158/
54,Ethyl acrylate,"The International Agency for Research on Cancer stated, ""Overall evaluation, ethyl acrylate is possibly carcinogenic to humans (Group 2B)."" The United States Environmental Protection Agency (EPA) states, ""Human studies on occupational exposure to ethyl acrylate... have suggested a relationship between exposure to the chemical(s) and colorectal cancer, but the evidence is conflicting and inconclusive. In a study by the National Toxicology Program (NTP), increased incidences of squamous cell papillomas and carcinomas of the forestomach were observed in rats and mice exposed via gavage (experimentally placing the chemical in the stomach). However, the NTP recently determined that these data were not relevant to human carcinogenicity since humans do not have a forestomach, and removed ethyl acrylate from its list of carcinogens.""",https://en.wikipedia.org/wiki/Ethyl_acrylate
55,Ethylene glycol,"Ethylene glycol is moderately toxic, with an oral LDLo = 786 mg/kg for humans. The major danger is due to its sweet taste, which can attract children and animals. Upon ingestion, ethylene glycol is oxidized to glycolic acid, which is, in turn, oxidized to oxalic acid, which is toxic. It and its toxic byproducts first affect the central nervous system, then the heart, and finally the kidneys. Ingestion of sufficient amounts is fatal if untreated. Several deaths are recorded annually in the U.S. alone.",https://en.wikipedia.org/wiki/Ethylene_glycol#Toxicity
56,Ethylene oxide,"Ethylene oxide (EtO) is produced in large volumes and is primarily used as an intermediate in the production of several industrial chemicals, the most notable of which is ethylene glycol. It is also used as a fumigant in certain agricultural products and as a sterilant for medical equipment and supplies. Unfortunately, EtO possesses several physical and health hazards that merit special attention. EtO is both flammable and highly reactive. Acute exposures to EtO gas may result in respiratory irritation and lung injury, headache, nausea, vomiting, diarrhea, shortness of breath, and cyanosis. Chronic exposure has been associated with the occurrence of cancer, reproductive effects, mutagenic changes, neurotoxicity, and sensitization.",https://www.osha.gov/SLTC/ethyleneoxide/index.html
57,Extract of coffee bean,"An orally bioavailable dietary supplement composed of an extract from the beans of green coffee (Coffea arabica), which are unprocessed and unroasted, with potential anti-inflammatory, antioxidant and chemopreventive activities. Coffea arabica extract contain high amounts of phenolic compounds and their derivatives, such as chlorogenic acid (CGA), and alkaloids, such as caffeine. As many of the active components in the Coffea arabica are antioxidant compounds, upon administration, they scavenge free radicals, protect against oxidation of low-density lipoprotein (LDL), and inhibit cell damage due to reactive oxygen species (ROS). This inhibits oxidative stress and protects against DNA damage.",https://www.cancer.gov/publications/dictionaries/cancer-drug/def/794158
58,Formaldehyde,"Although the short-term health effects of formaldehyde exposure are well known, less is known about its potential long-term health effects. In 1980, laboratory studies showed that exposure to formaldehyde could cause nasal cancer in rats. This finding raised the question of whether formaldehyde exposure could also cause cancer in humans. In 1987, the U.S. Environmental Protection Agency (EPA) classified formaldehyde as a probable human carcinogen under conditions of unusually high or prolonged exposure. Since that time, some studies of humans have suggested that formaldehyde exposure is associated with certain types of cancer. The International Agency for Research on Cancer (IARC) classifies formaldehyde as a human carcinogen. In 2011, the National Toxicology Program, an interagency program of the Department of Health and Human Services, named formaldehyde as a known human carcinogen in its 12th Report on Carcinogens.",https://www.cancer.gov/about-cancer/causes-prevention/risk/substances/formaldehyde/formaldehyde-fact-sheet
59,Formaldehyde (gas),"Although the short-term health effects of formaldehyde exposure are well known, less is known about its potential long-term health effects. In 1980, laboratory studies showed that exposure to formaldehyde could cause nasal cancer in rats. This finding raised the question of whether formaldehyde exposure could also cause cancer in humans. In 1987, the U.S. Environmental Protection Agency (EPA) classified formaldehyde as a probable human carcinogen under conditions of unusually high or prolonged exposure. Since that time, some studies of humans have suggested that formaldehyde exposure is associated with certain types of cancer. The International Agency for Research on Cancer (IARC) classifies formaldehyde as a human carcinogen. In 2011, the National Toxicology Program, an interagency program of the Department of Health and Human Services, named formaldehyde as a known human carcinogen in its 12th Report on Carcinogens.",https://www.cancer.gov/about-cancer/causes-prevention/risk/substances/formaldehyde/formaldehyde-fact-sheet
60,Formaldehyde solution,"Although the short-term health effects of formaldehyde exposure are well known, less is known about its potential long-term health effects. In 1980, laboratory studies showed that exposure to formaldehyde could cause nasal cancer in rats. This finding raised the question of whether formaldehyde exposure could also cause cancer in humans. In 1987, the U.S. Environmental Protection Agency (EPA) classified formaldehyde as a probable human carcinogen under conditions of unusually high or prolonged exposure. Since that time, some studies of humans have suggested that formaldehyde exposure is associated with certain types of cancer. The International Agency for Research on Cancer (IARC) classifies formaldehyde as a human carcinogen. In 2011, the National Toxicology Program, an interagency program of the Department of Health and Human Services, named formaldehyde as a known human carcinogen in its 12th Report on Carcinogens.",https://www.cancer.gov/about-cancer/causes-prevention/risk/substances/formaldehyde/formaldehyde-fact-sheet
61,Genistein (purified),"Due to its structure similarity to 17_-estradiol (estrogen), genistein can compete with it and bind to estrogen receptors. However, genistein shows much higher affinity toward estrogen receptor _ than toward estrogen receptor _. Data from in vitro and in vivo research confirms that genistein can increase rate of growth of some ER expressing breast cancers. Genistein was found to increase the rate of proliferation of estrogen-dependent breast cancer when not cotreated with an estrogen antagonist. It was also found to decrease efficiency of tamoxifen and letrozole - drugs commonly used in breast cancer therapy. Genistein was found to inhibit immune response towards cancer cells allowing their survival.",https://en.wikipedia.org/wiki/Genistein
62,Ginkgo biloba extract,"The use of Ginkgo biloba leaf extracts may have undesirable effects, especially for individuals with blood circulation disorders and those taking anticoagulants such as aspirin or warfarin, although studies have found ginkgo has little or no effect on the anticoagulant properties or pharmacodynamics of warfarin in healthy subjects. Additional side effects include increased risk of bleeding, gastrointestinal discomfort, nausea, vomiting, diarrhea, headaches, dizziness, heart palpitations, and restlessness. According to a systemic review, the effects of ginkgo on pregnant women may include increased bleeding time, and it should be avoided during lactation because of inadequate safety evidence.",https://en.wikipedia.org/wiki/Ginkgo_biloba#Adverse_effects
63,Goldenseal root powder,"Side effects of goldenseal may include ""digestive complaints, nervousness, depression, constipation, rapid heartbeat, diarrhea, stomach cramps and pain, mouth ulcers, nausea, seizures, vomiting, and central nervous system depression. High doses may cause breathing problems, paralysis, and even death. Long-term use may lead to vitamin B deficiency, hallucinations, and delirium."" In addition, goldenseal may cause brain damage to newborn babies if given directly or if taken by breastfeeding or pregnant mothers, and may affect blood pressure unpredictably because it contains several compounds that have opposite effects on blood pressure.",https://en.wikipedia.org/wiki/Goldenseal
64,Isopropyl alcohol manufacture using strong acids,"In IARC Monographs Supplement 7 it was concluded that there was sufficient evidence in humans for the carcinogenicity of work in the manufacture of isopropyl alcohol by the strong-acid process and inadequate evidence for the carcinogenicity of exposure to isopropyl alcohol and isopropyl oils. The carcinogenic hazards to humans of work in the manufacture of isopropyl alcohol by other methods, and of exposure to diisopropyl sulfate were not evaluated. The evaluation was based on an increased incidence of cancer of the paranasal sinuses observed in workers at factories where isopropyl alcohol was manufactured by the strong-acid process. The risk for laryngeal cancer may also have been elevated in these workers.",https://www.ncbi.nlm.nih.gov/books/NBK304434/
65,Lauramide DEA,"Lauramide DEA, the major component of cocamide DEA. (See cocamide DEA)",https://cosmeticsinfo.org/ingredient/lauramide-dea
66,Lauramide diethanolamine,"Lauramide DEA, the major component of cocamide DEA. (See cocamide DEA)",https://cosmeticsinfo.org/ingredient/lauramide-dea
67,Lead,"Lead is a highly poisonous metal (whether inhaled or swallowed), affecting almost every organ and system in the human body.[246]æAt airborne levels of 100æmg/m3, it isæimmediately dangerous to life and health.[247]æMost ingested lead is absorbed into the bloodstream.",https://en.wikipedia.org/wiki/Lead#Toxicity
68,Lead acetate,"Lead(II) acetate, as well as white lead, has been used in cosmetics throughout history. It is still used in the USA in men's hair colouring products like Grecian Formula. The U.S. Food and Drug Administration considers this use safe because human testing showed lead did not enter the bloodstream and was not shown to be absorbed. It was, however, banned in cosmetics by Health Canada in 2005 (effective at the end of 2006) based on tests showing possible carcinogenicity and reproductive toxicity, and it is also banned in the European Union and has been on the California Proposition 65 warning list as a carcinogen since 1988.",https://en.wikipedia.org/wiki/Lead(II)_acetate#Cosmetics
69,Mercury and mercury compounds,"Mercury can be absorbed through the skin and mucous membranes and mercury vapors can be inhaled, so containers of mercury are securely sealed to avoid spills and evaporation. Heating of mercury, or of compounds of mercury that may decompose when heated, should be carried out with adequate ventilation in order to minimize exposure to mercury vapor. The most toxic forms of mercury are its organic compounds, such as dimethylmercury and methylmercury. Mercury can cause both chronic and acute poisoning.",https://en.wikipedia.org/wiki/Mercury_(element)
70,Methanol,"Methanol has low acute toxicity in humans, but is dangerous because, together with ethanol, it is occasionally ingested in large volumes. As little as 10 mL (0.34 US fl oz) of pure methanol can cause permanent blindness by destruction of the optic nerve. 30 mL (1.0 US fl oz) is potentially fatal.",https://en.wikipedia.org/wiki/Methanol#Toxicity
71,Methyl chloride,Inhalation of chloromethane gas produces central nervous system effects similar to alcohol intoxication. The TLV is 50 ppm and the MAC is the same. Prolonged exposure may have mutagenic effects.,https://en.wikipedia.org/wiki/Chloromethane
72,Methylene glycol,"Methanediol, rather than formaldehyde, is listed as one of the main ingredients of ""Brazilian blowout"", a hair-straightening formula marketed in the US. The equilibrium with formaldehyde has caused concern since formaldehyde in hair straighteners is a health hazard,",https://en.wikipedia.org/wiki/Methanediol
73,Methyleugenol,"As of October 2018, the USæFDAæwithdrew authorization for the use of methyl eugenol as a synthetic flavoring substance for use in food because petitioners provided data demonstrating that these additives induce cancer in laboratory animals. FDA noted the action was despite its continuing stance that this substance does not pose a risk to public health under the conditions of its intended use.",https://en.wikipedia.org/wiki/Methyl_eugenol
74,Mica,"TheæOccupational Safety and Health Administrationæ(OSHA) has set the legal limit (permissible exposure limit) for mica exposure in the workplace as 20æmppcfæover an 8-hour workday. TheæNational Institute for Occupational Safety and Healthæ(NIOSH) has set aærecommended exposure limitæ(REL) of 3æmg/m3ærespiratory exposure over an 8-hour workday. At levels of 1,500æmg/m3, mica isæimmediately dangerous to life and health.",https://en.wikipedia.org/wiki/Mica#Health_impact
75,"Mineral oils, untreated and mildly treated","Exposure to mineral oils is strongly associated with an increased risk of nonmelanomaæskin cancer, particularly of the scrotum.",https://www.cancer.gov/about-cancer/causes-prevention/risk/substances/mineral-oils
76,Musk xylene,"Musk xylene is an analogue of the explosiveætrinitrotolueneæ(TNT), so it is unsurprising that its safety characteristics have been studied in some detail. Indeed, the nitro musks were first discovered in an attempt to produce new high explosives. It has also been used _ albeit in very small amounts _ in mass-market consumer products for the last hundred years. The discovery of musk xylene residues in the environment prompted new concerns about its possible long-term toxicity, and led to the sharp decline in its use from the mid to late 1980s. TheæEuropean Chemicals Agencyæhas listed musk xylene as a ""substance of very high concern"" (SVHC) under theæREACH Regulation, judging it to be ""very persistent and very bioaccumulative"" (vPvB) but not meeting the criteria for human or environmental toxicity to be of concern.",https://en.wikipedia.org/wiki/Musk_xylene#Safety
77,"N,N-Dimethyl-p-toluidine",The ortho isomer is produced on the largest scale. Its primary application is as a precursor to the pesticides metolachlor and acetochlor. The other toluidine isomers are used in the production of dyes. They are a component of accelerators for cyanoacrylate glues.,https://en.wikipedia.org/wiki/Toluidine
78,N-Methylpyrrolidone,"In rats, NMP is absorbed rapidly after inhalation, oral, and dermal administration, distributed throughout the organism, and eliminated mainly by hydroxylation to polar compounds, which are excreted via urine. About 80% of the administered dose is excreted as NMP and NMP metabolites within 24 hours. A probably dose dependent yellow coloration of the urine in rodents is observed. The major metabolite is 5-hydroxy-N-methyl-2-pyrrolidone.",https://en.wikipedia.org/wiki/N-Methyl-2-pyrrolidone#Applications
79,N-Nitrosodiethanolamine,"Nitrosamines can cause cancers in a wide variety of animal species, a feature that suggests that they may also be carcinogenic in humans. At present, available epidemiological evidence from case-control studies on nitrite and nitrosamine intake supports a positive association with gastric cancer risk. Regarding oesophageal cancer, available evidence supports a positive association between nitrite and nitrosamine intake and gastric cancer (GC), between meat and processed meat intake and GC and oesophageal cancer, and between preserved fish, vegetable and smoked food intake and GC, but is not conclusive. Hydrazines derived from these nitrosamines, e.g. UDMH, are also carcinogenic.",https://en.wikipedia.org/wiki/Nitrosamine#Cancer
80,N-Nitrosodimethylamine,"Nitrosamines can cause cancers in a wide variety of animal species, a feature that suggests that they may also be carcinogenic in humans. At present, available epidemiological evidence from case-control studies on nitrite and nitrosamine intake supports a positive association with gastric cancer risk. Regarding oesophageal cancer, available evidence supports a positive association between nitrite and nitrosamine intake and gastric cancer (GC), between meat and processed meat intake and GC and oesophageal cancer, and between preserved fish, vegetable and smoked food intake and GC, but is not conclusive. Hydrazines derived from these nitrosamines, e.g. UDMH, are also carcinogenic.",https://en.wikipedia.org/wiki/Nitrosamine#Cancer
81,Nickel (Metallic),"The average daily exposure does not pose a threat to human health. Most of the nickel absorbed every day by humans is removed by the kidneys and passed out of the body through urine or is eliminated through the gastrointestinal tract without being absorbed. Nickel is not a cumulative poison, but larger doses or chronic inhalation exposure may be toxic, even carcinogenic, and constitute an occupational hazard. Nickel compounds are classified as human carcinogens based on increased respiratory cancer risks observed in epidemiological studies of sulfidic ore refinery workers.",https://en.wikipedia.org/wiki/Nickel#Toxicity
82,Oil Orange SS,"The limonene which is the main component of the oil is a mild irritant, as it dissolves protective skin oils. Limonene and its oxidation products are skin irritants, and limonene-1,2-oxide (formed by aerial oxidation) is a known skin sensitizer. Most reported cases of irritation have involved long-term industrial exposure to the pure compound, e.g. during degreasing or the preparation of paints. However a study of patients presenting dermatitis showed that 3% were sensitized to limonene. Limonene has been observed to cause cancer in male rats, by reacting with _2u-globulin, which is not produced by female rats. There is no evidence for carcinogenicity or genotoxicity in humans. The IARC classifies d-limonene under Class 3: not classifiable as to its carcinogenicity to humans.",https://en.wikipedia.org/wiki/Orange_oil#Hazards
83,Permethrin,"Permethrin does not present any notable genotoxicity or immunotoxicity in humans and farm animals, but is classified by the EPA as a likely human carcinogen when ingested, based on reproducible studies in which mice fed permethrin developed liver and lung tumors. It is known to be highly toxic to fish and aquatic species.",https://en.wikipedia.org/wiki/Permethrin#Safety
84,Phenacemide,"Phenacemide (INN, BAN) (brand name Phenurone), also known as phenylacetylurea, is an anticonvulsant of the ureide (acetylurea) class. It is a congener and ring-opened analogue of phenytoin (a hydantoin), and is structurally related to the barbiturates and to other hydantoins. Phenacemide was introduced in 1949 for the treatment of epilepsy, but was eventually withdrawn due to toxicity.",https://en.wikipedia.org/wiki/Phenacemide
85,Phenacetin,"Phenacetin, and products containing phenacetin, have been shown in an animal model to have the side effect and after-effect of carcinogenesis. In humans, many case reports have implicated products containing phenacetin in urothelial neoplasms, especially urothelial carcinoma of the renal pelvis. In one prospective series, phenacetin was associated with an increased risk of death due to urologic or renal diseases, death due to cancers, and death due to cardiovascular diseases.",https://en.wikipedia.org/wiki/Phenacetin#Safety
86,Polygeenan,"n 1969, Adrian Julian Marcus and James Watt demonstrated that poligeenan could induce gastrointestinal lesions inæanimal models,[6]æwhich was followed by decades ofæmedical researchæusing the substance to studyæinflammatory bowel disease.",https://en.wikipedia.org/wiki/Poligeenan#Usage
87,Progesterone,"The progesterone prescription products that have been approved by the Food and Drug Administration (FDA) are LIKELY SAFE for most people when used by mouth, applied to the skin, applied into vagina, or injected into the muscle with the advice and care of a healthcare professional. However, progesterone can cause many side effects including stomach upset, changes in appetite, weight gain, fluid retention and swelling (edema), fatigue, acne, drowsiness or insomnia, allergic skin rashes, hives, fever, headache, depression, breast discomfort or enlargement, premenstrual syndrome (PMS)-like symptoms, altered menstrual cycles, irregular bleeding, and other side effects.",https://www.emedicinehealth.com/progesterone/vitamins-supplements.htm#SafetyConcerns
88,Propylene glycol mono-t-butyl ether,"Occupational exposure to propylene glycol mono-t-butyl ether may occur through inhalation and dermal contact with this compound at workplaces where propylene glycol mono-t-butyl ether is produced or used. The general population may be exposed to this compound through contact with consumer products containing propylene glycol mono-t-butyl ether. It is slightly irritating to skin, but pure propylene glycol mono-tert-butyl ether can be severely irritating to eyes.",https://toxnet.nlm.nih.gov/cgi-bin/sis/search/a?dbs+hsdb:@term+@DOCNO+7295
89,Propylene oxide,"It is a probable human carcinogen, and is included into theæList of IARC Group 2B carcinogens.",https://en.wikipedia.org/wiki/Propylene_oxide
90,Pulegone,"It was reported that the chemical is toxic to rats if a large quantity is consumed. Pulegone is also an insecticide _ the most powerful of three insecticides naturally occurring in many mint species. As of October 2018, the FDA withdrew authorization for the use of pulegone as a synthetic flavoring substance for use in food, but that naturally-occurring pulegone can continue to be used.",https://en.wikipedia.org/wiki/Pulegone#Toxicology
91,Quartz,"Inhaling finely divided crystalline silica dust can lead to silicosis, bronchitis, or lung cancer, as the dust becomes lodged in the lungs and continuously irritates the tissue, reducing lung capacities. When fine silica particles are inhaled in large enough quantities (such as through occupational exposure), it increases the risk of systemic autoimmune diseases such as lupus and rheumatoid arthritis compared to expected rates in the general population.",https://en.wikipedia.org/wiki/Silicon_dioxide#Health_effects
92,Quinoline and its strong acid salts,"Like other nitrogen heterocyclic compounds, such as pyridine derivatives, quinoline is often reported as an environmental contaminant associated with facilities processing oil shale or coal, and has also been found at legacy wood treatment sites. Owing to its relatively high solubility in water quinoline has significant potential for mobility in the environment, which may promote water contamination.",https://en.wikipedia.org/wiki/Quinoline
93,Retinol,"Retinol at normal doses is well tolerated. High doses may result in an enlarged liver, dry skin, or hypervitaminosis A. High doses during pregnancy may result in harm to the baby. Retinol is in the vitamin A family. It is converted in the body to retinal and retinoic acid through which it acts. Dietary sources include fish, dairy products, and meat.",https://en.wikipedia.org/wiki/Retinol#Side_effects
94,Retinol palmitate,"The Environmental Working Group (EWG) and New York Senator Chuck Schumer have called attention to the fact that high doses of topical retinyl palmitate were shown to accelerate cancer in lab animals, fueling the sunscreen controversy in the popular press. One toxicological analysis determined that ""there is no convincing evidence to support the notion that [retinyl palmitate] in sunscreens is carcinogenic."" EWG disputed the findings, calling the report ""faulty"" and ""misleading."" A technical report issued thereafter by the National Toxicology Program concluded that diisopropyl adipate increased incidence of skin tumors in mice, and the addition of either retinoic acid or retinyl palmitate both exacerbated the rate and frequency of tumors.",https://en.wikipedia.org/wiki/Retinyl_palmitate
95,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.","Retinol at normal doses is well tolerated. High doses may result in an enlarged liver, dry skin, or hypervitaminosis A. High doses during pregnancy may result in harm to the baby. Retinol is in the vitamin A family. It is converted in the body to retinal and retinoic acid through which it acts. Dietary sources include fish, dairy products, and meat.",https://en.wikipedia.org/wiki/Retinol#Side_effects
96,Retinyl acetate,"World Health Organization recommendation on Maternal Supplementation During Pregnancy states that ""health benefits are expected for the mother and her developing fetus with little risk of detriment to either, from a daily supplement not exceeding 10,000IU [preformed] vitamin A (3000mcg RE) at any time during pregnancy."" Preformed Vitamin A refers to retinyl palmitate and retinyl acetate.",https://en.wikipedia.org/wiki/Retinyl_acetate
97,Retinyl palmitate,"The Environmental Working Group (EWG) and New York Senator Chuck Schumer have called attention to the fact that high doses of topical retinyl palmitate were shown to accelerate cancer in lab animals, fueling the sunscreen controversy in the popular press. One toxicological analysis determined that ""there is no convincing evidence to support the notion that [retinyl palmitate] in sunscreens is carcinogenic."" EWG disputed the findings, calling the report ""faulty"" and ""misleading."" A technical report issued thereafter by the National Toxicology Program concluded that diisopropyl adipate increased incidence of skin tumors in mice, and the addition of either retinoic acid or retinyl palmitate both exacerbated the rate and frequency of tumors.",https://en.wikipedia.org/wiki/Retinyl_palmitate
98,Safrole,"Besides being a hepatocarcinogen, safrole exhibits further adverse effects in that it will induce the formation of hepatic lipid hydroperoxides. Safrole also inhibits the defensive function of neutrophils against bacteria. In addition to the inhibition of the defensive function of neutrophils, it has also been discovered that safrole interferes with the formation of superoxides by neutrophils. Furthermore, safrole oxide, a metabolite of safrole, has a negative effect on the central nervous system. Safrole oxide inhibits the expression of integrin _4/SOD, which leads to apoptosis of the nerve cells.",https://en.wikipedia.org/wiki/Safrole#Toxicity
99,Selenium sulfide,"Selenium disulfide can cause discoloration of the hair and alter the color of hair dyes. It may also discolor metallic jewellery. Side effects include hair loss, irritation of the skin, weakness, and feeling tired. Use is not recommended in children less than 2_5 years old.",https://en.wikipedia.org/wiki/Selenium_disulfide#Side_effects
100,"Silica, crystalline (airborne particles of respirable size)","Inhaling finely divided crystalline silica dust can lead to silicosis, bronchitis, or lung cancer, as the dust becomes lodged in the lungs and continuously irritates the tissue, reducing lung capacities. When fine silica particles are inhaled in large enough quantities (such as through occupational exposure), it increases the risk of systemic autoimmune diseases such as lupus and rheumatoid arthritis compared to expected rates in the general population.",https://en.wikipedia.org/wiki/Silicon_dioxide#Health_effects
101,Sodium Bromate,Bromate in drinking water is undesirable because it is a suspected human carcinogen. Its presence in Coca-Cola's Dasani bottled water forced a recall of that product in the UK.,https://en.wikipedia.org/wiki/Sodium_bromate#Human_health_issues
102,Spironolactone,"Spironolactone has antiandrogenic activity. For this reason, it is frequently used to treat a variety of dermatological conditions in which androgens play a role. Some of these uses include acne, seborrhea, hirsutism, and pattern hair loss in women. Spironolactone is the most commonly used medication in the treatment of hirsutism in the United States. High doses of spironolactone, which are needed for considerable antiandrogenic effects, are not recommended for men due to the high risk of feminization and other side effects. Spironolactone is also commonly used to treat symptoms of hyperandrogenism, such as due to polycystic ovary syndrome, in women.",https://en.wikipedia.org/wiki/Spironolactone
103,Styrene,"Styrene is regarded as a ""known carcinogen"", especially in case of eye contact, but also in case of skin contact, of ingestion and of inhalation, according to several sources. Styrene is largely metabolized into styrene oxide in humans, resulting from oxidation by cytochrome P450. Styrene oxide is considered toxic, mutagenic, and possibly carcinogenic. Styrene oxide is subsequently hydrolyzed in vivo to styrene glycol by the enzyme epoxide hydrolase. The U.S. Environmental Protection Agency (EPA) has described styrene to be ""a suspected toxin to the gastrointestinal tract, kidney, and respiratory system, among others"". On 10 June 2011, the U.S. National Toxicology Program has described styrene as ""reasonably anticipated to be a human carcinogen"".",https://en.wikipedia.org/wiki/Styrene
104,TEA-Lauryl Sulfate,"A 1996 study found that triethanolamine (TEOA) occasionally causes contact allergy. A 2001 study found TEOA in a sunscreen caused an allergic contact dermatitis. A 2007 study found TEOA in ear drops caused a contact allergy. Systemic and respiratory tract (RT) toxicity was analyzed for 28 days in a nose specific inhalation 2008 study in Wistar rats; TEOA seems to be less potent in regard to systemic toxicity and RT irritancy than diethanolamine (DEA). Exposure to TEOA resulted in focal inflammation, starting in single male animals from 20 mg/m3 concentrations. A 2009 study stated that patch test reactions reveal a slight irritant potential instead of a true allergic response in several cases, and also indicated the risk of skin sensitization to TEOA seems to be very low.",https://en.wikipedia.org/wiki/Triethanolamine#Safety_and_regulation
105,Talc,"Talc powder is a household item, sold globally for use in personal hygiene and cosmetics. Suspicions have been raised that its use contributes to certain types of disease, mainly cancers of the ovaries and lungs. It is classified as a group 3 agent in the IARC listing. Reviews by Cancer Research UK and the American Cancer Society conclude that some studies have found a link, but other studies have not. The studies discuss pulmonary issues, lung cancer, and ovarian cancer. One of these, published in 1993, was a US National Toxicology Program report, which found that cosmetic grade talc containing no asbestos-like fibres was correlated with tumor formation in rats forced to inhale talc for 6 hours a day, five days a week over at least 113 weeks. A 1971 paper found particles of talc embedded in 75% of the ovarian tumors studied. Research published in 1995 and 2000 concluded that it was plausible that talc could cause ovarian cancer, but no conclusive evidence was shown. The Cosmetic Ingredient Review Expert Panel concluded in 2015 that talc, in the concentrations currently used in cosmetics, is safe.",https://en.wikipedia.org/wiki/Talc#Safety
106,Talc (powder),"Talc powder is a household item, sold globally for use in personal hygiene and cosmetics. Suspicions have been raised that its use contributes to certain types of disease, mainly cancers of the ovaries and lungs. It is classified as a group 3 agent in the IARC listing. Reviews by Cancer Research UK and the American Cancer Society conclude that some studies have found a link, but other studies have not. The studies discuss pulmonary issues, lung cancer, and ovarian cancer. One of these, published in 1993, was a US National Toxicology Program report, which found that cosmetic grade talc containing no asbestos-like fibres was correlated with tumor formation in rats forced to inhale talc for 6 hours a day, five days a week over at least 113 weeks. A 1971 paper found particles of talc embedded in 75% of the ovarian tumors studied. Research published in 1995 and 2000 concluded that it was plausible that talc could cause ovarian cancer, but no conclusive evidence was shown. The Cosmetic Ingredient Review Expert Panel concluded in 2015 that talc, in the concentrations currently used in cosmetics, is safe.",https://en.wikipedia.org/wiki/Talc#Safety
107,Talc containing asbestiform fibers,"Talc powder is a household item, sold globally for use in personal hygiene and cosmetics. Suspicions have been raised that its use contributes to certain types of disease, mainly cancers of the ovaries and lungs. It is classified as a group 3 agent in the IARC listing. Reviews by Cancer Research UK and the American Cancer Society conclude that some studies have found a link, but other studies have not. The studies discuss pulmonary issues, lung cancer, and ovarian cancer. One of these, published in 1993, was a US National Toxicology Program report, which found that cosmetic grade talc containing no asbestos-like fibres was correlated with tumor formation in rats forced to inhale talc for 6 hours a day, five days a week over at least 113 weeks. A 1971 paper found particles of talc embedded in 75% of the ovarian tumors studied. Research published in 1995 and 2000 concluded that it was plausible that talc could cause ovarian cancer, but no conclusive evidence was shown. The Cosmetic Ingredient Review Expert Panel concluded in 2015 that talc, in the concentrations currently used in cosmetics, is safe.",https://en.wikipedia.org/wiki/Talc#Safety
108,Titanium dioxide,"Many sunscreens use nanoparticle titanium dioxide (along with nanoparticle zinc oxide) which, despite reports of potential health risks, is not actually absorbed through the skin. Other effects of titanium dioxide nanoparticles on human health are not well understood. Titanium dioxide dust, when inhaled, has been classified by the International Agency for Research on Cancer (IARC) as an IARC Group 2B carcinogen, meaning it is possibly carcinogenic to humans.",https://en.wikipedia.org/wiki/Titanium_dioxide#Health_and_safety
